"id"	"exp_condition"	"workerid"	"round"	"round_step"	"total_step"	"participant_x"	"participant_y"	"participant_action"	"participant_points"	"learner_x"	"learner_y"	"learner_action"	"reaction_time"	"is_collision"	"participant_gets_goal"	"learner_gets_goal"	"computation_time"	"learner_iterations"	"date_time"
6201	"s"	"Zh1MLlISAE"	8	14	82	3	1	"wait"	7	4	1	"up"	1644	1	0	0	467	0	"2015-10-15T22:51:16.954Z"
6202	"f"	"cg30Fxw2CY"	4	0	37	0	1	"right"	4	4	1	"up"	674	0	0	0	175	0	"2015-10-15T22:42:31.577Z"
6203	"f"	"UzcusTNxF2"	7	6	61	3	2	"right"	7	2	1	"left"	767	0	0	0	602	0	"2015-10-15T22:51:19.772Z"
6204	"s"	"Zh1MLlISAE"	8	15	83	3	1	"right"	7	4	2	"up"	565	0	1	0	362	0	"2015-10-15T22:51:17.838Z"
6205	"f"	"cg30Fxw2CY"	4	1	38	1	1	"right"	4	4	2	"left"	235	0	0	0	123	0	"2015-10-15T22:42:32.120Z"
6206	"f"	"UzcusTNxF2"	7	7	62	4	2	"down"	7	1	1	"left"	823	0	1	1	587	0	"2015-10-15T22:51:20.920Z"
6207	"f"	"8vfXyBuTAC"	3	3	21	1	1	"down"	0	2	2	"left"	3985	0	0	0	188	0	"2015-10-15T22:51:08.470Z"
6208	"f"	"cg30Fxw2CY"	4	2	39	2	1	"down"	4	3	2	"down"	1125	0	0	0	172	0	"2015-10-15T22:42:33.557Z"
6209	"f"	"m9ncUQfmjD"	0	6	6	3	1	"right"	0	0	2	"right"	2219	0	1	0	2128	8	"2015-10-15T22:51:30.780Z"
6210	"f"	"cg30Fxw2CY"	4	3	40	2	0	"right"	4	3	1	"left"	189	0	0	0	124	0	"2015-10-15T22:42:34.055Z"
6211	"f"	"cg30Fxw2CY"	4	4	41	3	0	"right"	4	2	1	"left"	325	0	0	0	130	0	"2015-10-15T22:42:34.688Z"
6212	"f"	"cg30Fxw2CY"	4	5	42	4	0	"up"	4	1	1	"left"	201	0	1	1	130	0	"2015-10-15T22:42:35.197Z"
6213	"f"	"8vfXyBuTAC"	3	4	22	1	0	"right"	0	1	2	"down"	1355	0	0	0	359	1	"2015-10-15T22:51:10.137Z"
6214	"s"	"Zh1MLlISAE"	9	0	84	0	1	"right"	8	4	1	"wait"	804	1	0	0	354	0	"2015-10-15T22:51:21.213Z"
6215	"s"	"Zh1MLlISAE"	9	1	85	1	1	"right"	8	4	1	"left"	539	0	0	0	349	0	"2015-10-15T22:51:22.071Z"
6216	"f"	"UzcusTNxF2"	8	0	63	0	1	"right"	8	4	1	"left"	1769	0	0	0	1195	1	"2015-10-15T22:51:25.395Z"
6217	"s"	"Zh1MLlISAE"	9	2	86	2	1	"wait"	8	3	1	"down"	811	1	0	0	362	0	"2015-10-15T22:51:23.202Z"
6218	"f"	"8vfXyBuTAC"	3	5	23	2	0	"wait"	0	1	1	"left"	2562	1	0	1	188	0	"2015-10-15T22:51:13.016Z"
